funding_rounds,total_funding,team_size,tech_stack_size,patents,burned_rate,revenue_growth,market_size,competitors,social_media_score,client_retention,pivot_count,regulatory_score,status
7,2702967,83,2,2,0.44644192179654874,0.0123824387880756,4.532674607550213,24,57.96324582018182,0.9872144548311412,3,0.6121662207231456,1
4,3538550,137,6,6,0.618772077041005,0.12440951350996593,8.531758122578005,34,55.552506806271964,0.8816745102868724,0,0.1665455885938013,1
8,176218,99,3,5,0.6653652084189043,0.20394480425364003,5.813210197250534,31,73.9621684652995,0.3946600879499458,3,0.5286298375366193,0
5,870044,149,16,8,0.5007109258366713,0.13981815924660312,0.7892985503841232,48,49.924290752477475,0.6865742920747842,3,0.5901164223444708,0
7,2646741,73,8,5,0.6448612228149799,0.06818516373378292,1.9167131883027433,13,27.22856607081342,0.4165922277841987,4,0.2980416983469145,0
3,4772750,156,2,4,0.02353249441409877,0.3640061288980987,4.745443501585562,0,16.939649963157855,0.6485270268242028,2,0.035064949018718705,1
7,4756356,190,17,9,0.4296228638968441,0.40657382758399246,3.614871498218121,16,62.08188035058918,0.30943247096948323,1,0.0372538806141961,0
8,3580130,115,9,6,0.27893807607347676,0.12873948807186242,3.5872701954609876,24,71.89907568532331,0.606202253610332,1,0.026347332193917605,1
5,3285714,7,12,0,0.1291744452431104,0.38720974730315166,5.292674481435902,7,56.95212786820326,0.5237584965528499,1,0.7391246671365462,1
4,1828096,80,3,6,0.09954651280877513,0.19277678220065692,5.843959215894574,4,73.83512771211947,0.024480265813199953,2,0.31800970481429813,0
8,447739,144,11,2,0.6031921656146675,0.2533428954270014,7.968615702761911,4,14.152120244996013,0.7907029037461137,0,0.7963001859676636,1
8,572327,97,1,8,0.5236005471526117,0.4280005374465764,3.4096656346248464,40,88.24701949431355,0.011897832245155615,1,0.43173282384284917,1
3,2794946,4,13,5,0.2535841169963692,0.3749768409012039,8.054662830405867,34,58.239550840850306,0.29315594225330177,0,0.45299810082996383,1
6,4329215,4,15,8,0.4709500587725145,0.40255842565808886,3.3861122911263255,18,12.684392689259717,0.00592406545400237,2,0.5128826025095737,0
5,2022135,103,5,4,0.4922323151824083,0.06842258329317841,0.5543298894123383,22,46.1925204205735,0.3762014132951982,2,0.7130314563751039,0
2,1078039,40,17,6,0.1950089804386158,0.03485971291686474,5.541876510047912,8,84.47917378659115,0.0631605281641393,4,0.27350286582970706,0
8,999885,17,6,3,0.6520930618816506,0.44670236454399354,5.879023248948146,29,89.75621934531601,0.9135109668312412,1,0.1215873495335269,0
6,708746,101,11,6,0.7809193563860904,0.19391713478554717,9.3454024562186,49,26.46495049987615,0.4156792951628686,4,0.5560573351914615,1
2,3102819,103,18,0,0.791463540889519,0.14393983903484042,7.260613260624744,15,71.12658247104531,0.45949577486441007,1,0.32697762324273927,1
5,4611219,124,4,6,0.6024698307034551,0.36234812713091225,9.177726524944395,32,9.998524748377669,0.34985023609085486,2,0.4424913136680374,0
1,599876,52,3,7,0.5116385825190141,0.4182077982899283,9.083472102430095,1,3.3545871412157813,0.6275061542017663,2,0.6469467083373054,1
6,2062165,52,13,4,0.06100714300539489,0.43124481094915046,6.045741102582421,13,56.03989538199428,0.7844081166182038,3,0.4941257411412706,1
9,711213,164,9,1,0.28783129885160585,0.15799857056261368,5.277620653364475,45,69.48275793281259,0.6481467430489779,3,0.6202788171008429,0
1,868734,124,6,4,0.0932714467781699,0.426106195600837,5.574409671635999,0,79.5786731176502,0.7482071183951275,2,0.5442000021136278,0
3,4341361,166,12,5,0.9638231608784736,0.020466972187172694,9.783308076772478,25,34.02162384553347,0.9059736635092605,2,0.7397963719360992,1
7,1939433,178,2,1,0.1350801462257607,0.024830745729859438,7.7316769174695885,24,0.6525410428886991,0.8635465316714287,0,0.70593661771162,1
4,3772214,63,3,5,0.15177540985110205,0.3117595975870772,1.0626590479239584,15,47.95192371113538,0.6740584527536958,0,0.5341898918086192,1
9,2126580,116,3,5,0.8895766183304922,0.03155318455777312,7.784284067813999,14,1.585354537356698,0.2146379629044286,4,0.6789030208597069,0
3,4439235,191,12,0,0.9439282834764579,0.16230458425508076,1.7053804889822588,25,9.198451067079993,0.6377028510419288,3,0.8735596022726128,0
5,1592252,62,15,0,0.7658290392349099,0.336377993123462,4.473505490056256,46,32.668902253174835,0.5060830957405109,3,0.4322712877881686,0
3,3626737,7,9,9,0.00540492367266987,0.16863344802711316,2.1045967217653425,43,43.71720495601772,0.7172192310104201,2,0.41276307274879365,1
7,501921,155,8,2,0.0013462709565636999,0.08979989072004796,6.895830655332298,15,27.946944122964858,0.8329316483929149,2,0.7642456208523801,1
5,2108960,92,11,9,0.3781007697874508,0.14067531092692082,8.773097361930356,13,58.18652665047078,0.7427214971864174,4,0.582553837041994,0
9,4555214,14,16,9,0.14339537001089253,0.2287876661252159,2.9036188536668095,28,5.534978921809519,0.8465611699612853,3,0.07100678022258855,1
7,187955,199,4,2,0.018386142151597284,0.2376929276777412,0.8201074120818763,23,14.457971023958471,0.06386637334102385,0,0.8921120156910813,1
